run_number,run_era
#355865,Run2022C
355872,Run2022C
#355892,Run2022C
356005,Run2022C
356075,Run2022C
356076,Run2022C
356077,Run2022C
356309,Run2022C
356316,Run2022C
356323,Run2022C
#356375,Run2022C
356378,Run2022C
356381,Run2022C
356386,Run2022C
356428,Run2022C
356433,Run2022C
356446,Run2022C
356466,Run2022C
356467,Run2022C
356473,Run2022C
356478,Run2022C
356481,Run2022C
356488,Run2022C
356489,Run2022C
356523,Run2022C
356563,Run2022C
356569,Run2022C
356576,Run2022C
356578,Run2022C
356615,Run2022C
356619,Run2022C
356709,Run2022C
356719,Run2022C
356722,Run2022C
356788,Run2022C
356789,Run2022C
356810,Run2022C
356814,Run2022C
356815,Run2022C
356919,Run2022C
356937,Run2022C
356943,Run2022C
356945,Run2022C
356946,Run2022C
356947,Run2022C
356951,Run2022C
356954,Run2022C
356955,Run2022C
356956,Run2022C
356968,Run2022C
356969,Run2022C
356970,Run2022C
356997,Run2022C
357001,Run2022C
357078,Run2022C
357080,Run2022C
357081,Run2022C
357101,Run2022C
357102,Run2022C
357112,Run2022C
357268,Run2022C
357271,Run2022C
357329,Run2022C
357330,Run2022C
357332,Run2022C
357333,Run2022C
357401,Run2022C
357406,Run2022C
357438,Run2022C
357440,Run2022C
357442,Run2022C
357479,Run2022C
357482,Run2022C
357542,Run2022D
357610,Run2022D
357611,Run2022D
357612,Run2022D
357613,Run2022D
357688,Run2022D
357696,Run2022D
357700,Run2022D
357701,Run2022D
357705,Run2022D
357706,Run2022D
357732,Run2022D
357734,Run2022D
357735,Run2022D
#357754,Run2022D
357756,Run2022D
357766,Run2022D
357771,Run2022D
357776,Run2022D
357778,Run2022D
#359268,Run2022E
#359270,Run2022E
359291,Run2022E
359297,Run2022E
359343,Run2022E
359571,Run2022E
359595,Run2022E
359661,Run2022E
359685,Run2022E
359686,Run2022E
359691,Run2022E
359693,Run2022E
359694,Run2022E
359699,Run2022E
359717,Run2022E
359718,Run2022E
359750,Run2022E
359751,Run2022E
359762,Run2022E
359763,Run2022E
359764,Run2022E
359806,Run2022E
359810,Run2022E
359812,Run2022E
359814,Run2022E
359871,Run2022E
359899,Run2022E
359998,Run2022E
360019,Run2022E
360075,Run2022E
360088,Run2022E
360090,Run2022E
360116,Run2022E
360125,Run2022E
360126,Run2022E
360127,Run2022E
360128,Run2022E
360131,Run2022E
360141,Run2022E
#360224,Run2022E
#360225,Run2022E
360295,Run2022E
360327,Run2022E
360393,Run2022F
360413,Run2022F
360428,Run2022F
360441,Run2022F
360458,Run2022F
360459,Run2022F
360460,Run2022F
360486,Run2022F
360490,Run2022F
360491,Run2022F
360761,Run2022F
360794,Run2022F
360795,Run2022F
360796,Run2022F
360820,Run2022F
360825,Run2022F
360826,Run2022F
360876,Run2022F
360919,Run2022F
360921,Run2022F
360927,Run2022F
360942,Run2022F
360946,Run2022F
360948,Run2022F
360950,Run2022F
360951,Run2022F
360991,Run2022F
361020,Run2022F
361044,Run2022F
361045,Run2022F
361054,Run2022F
361059,Run2022F
361091,Run2022F
361105,Run2022F
361107,Run2022F
361110,Run2022F
361188,Run2022F
361197,Run2022F
361239,Run2022F
361240,Run2022F
361272,Run2022F
361280,Run2022F
361297,Run2022F
361400,Run2022F
361417,Run2022F
361443,Run2022F
361468,Run2022F
