# Low-stat runs derived from plots/default/reports/eff_run.csv
# Criterion: fiducial RPC crossing total <= 1000; unlisted metadata runs absent from the report are assigned total=0
run,year,fiducial_total,matched,efficiency_percent
355862,2022,876,832,94.977169
355871,2022,257,241,93.774319
356434,2022,0,0,
356435,2022,0,0,
356531,2022,0,0,
356908,2022,0,0,
357079,2022,0,0,
357104,2022,449,423,94.209354
357447,2022,356,333,93.539326
357478,2022,0,0,
359776,2022,313,300,95.846645
359887,2022,441,411,93.197279
359903,2022,497,466,93.762575
367230,2023,444,426,95.945946
367663,2023,536,515,96.082090
368453,2023,424,401,94.575472
368764,2023,702,653,93.019943
381358,2024,642,619,96.417445
385480,2024,193,181,93.782383
385887,2024,895,859,95.977654
391668,2025,2,2,100.000000
391688,2025,211,192,90.995261
391698,2025,311,278,89.389068
391700,2025,437,405,92.677346
391825,2025,353,330,93.484419
391826,2025,512,490,95.703125
391869,2025,732,695,94.945355
391870,2025,99,88,88.888889
391871,2025,291,269,92.439863
391873,2025,193,187,96.891192
392030,2025,281,267,95.017794
392293,2025,238,226,94.957983
393446,2025,312,298,95.512821
394816,2025,311,302,97.106109
394818,2025,311,295,94.855305
395013,2025,369,347,94.037940
395372,2025,352,315,89.488636
395761,2025,107,96,89.719626
395810,2025,533,488,91.557223
395896,2025,218,212,97.247706
396759,2025,598,571,95.484950
397412,2025,341,321,94.134897
398015,2025,0,0,
398077,2025,549,530,96.539162
398420,2025,790,759,96.075949
401630,2026,124,118,95.161290
401661,2026,946,904,95.560254
401664,2026,905,847,93.591160
401668,2026,761,714,93.823916
402369,2026,428,411,96.028037
402399,2026,0,0,
402456,2026,293,276,94.197952
403340,2026,14,12,85.714286
403348,2026,84,79,94.047619
403350,2026,3,3,100.000000
403392,2026,77,74,96.103896
403410,2026,264,250,94.696970
403413,2026,48,47,97.916667
403420,2026,63,62,98.412698
403421,2026,157,152,96.815287
