roll_name,det_id,region,ring,station,sector,layer,subsector,roll,area,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4
W-2_RB1in_S01_Backward,637566989,0,-2,1,1,1,1,1,24081.4,413.675,140.6,-412,413.675,-65.4,-412,413.675,-65.4,-528.9,413.675,140.6,-528.9
W-2_RB1in_S01_Forward,637632525,0,-2,1,1,1,1,3,25791.2,413.675,140.6,-529.5,413.675,-65.4,-529.5,413.675,-65.4,-654.7,413.675,140.6,-654.7
W-2_RB1out_S01_Backward,637569037,0,-2,1,1,2,1,1,24081.4,448.675,-69.9,-412,448.675,136.1,-412,448.675,136.1,-528.9,448.675,-69.9,-528.9
W-2_RB1out_S01_Forward,637634573,0,-2,1,1,2,1,3,25791.2,448.675,-69.9,-529.5,448.675,136.1,-529.5,448.675,136.1,-654.7,448.675,-69.9,-654.7
W-2_RB1in_S02_Backward,637567117,0,-2,1,2,1,1,1,24081.4,287.953,328.601,-412,390.953,150.199,-412,390.953,150.199,-528.9,287.953,328.601,-528.9
W-2_RB1in_S02_Forward,637632653,0,-2,1,2,1,1,3,25791.2,287.953,328.601,-529.5,390.953,150.199,-529.5,390.953,150.199,-654.7,287.953,328.601,-654.7
W-2_RB1out_S02_Backward,637569165,0,-2,1,2,2,1,1,24081.4,423.514,163.802,-412,320.514,342.204,-412,320.514,342.204,-528.9,423.514,163.802,-528.9
W-2_RB1out_S02_Forward,637634701,0,-2,1,2,2,1,3,25791.2,423.514,163.802,-529.5,320.514,342.204,-529.5,320.514,342.204,-654.7,423.514,163.802,-654.7
W-2_RB1in_S03_Backward,637567245,0,-2,1,3,1,1,1,24081.4,85.0743,428.553,-412,263.476,325.553,-412,263.476,325.553,-528.9,85.0743,428.553,-528.9
W-2_RB1in_S03_Forward,637632781,0,-2,1,3,1,1,3,25791.2,85.0743,428.553,-529.5,263.476,325.553,-529.5,263.476,325.553,-654.7,85.0743,428.553,-654.7
W-2_RB1out_S03_Backward,637569293,0,-2,1,3,2,1,1,24081.4,284.873,353.614,-412,106.471,456.614,-412,106.471,456.614,-528.9,284.873,353.614,-528.9
W-2_RB1out_S03_Forward,637634829,0,-2,1,3,2,1,3,25791.2,284.873,353.614,-529.5,106.471,456.614,-529.5,106.471,456.614,-654.7,284.873,353.614,-654.7
W-2_RB1in_S04_Backward,637567373,0,-2,1,4,1,1,1,24081.4,-140.6,413.675,-412,65.4,413.675,-412,65.4,413.675,-528.9,-140.6,413.675,-528.9
W-2_RB1in_S04_Forward,637632909,0,-2,1,4,1,1,3,25791.2,-140.6,413.675,-529.5,65.4,413.675,-529.5,65.4,413.675,-654.7,-140.6,413.675,-654.7
W-2_RB1out_S04_Backward,637569421,0,-2,1,4,2,1,1,24081.4,69.9,448.675,-412,-136.1,448.675,-412,-136.1,448.675,-528.9,69.9,448.675,-528.9
W-2_RB1out_S04_Forward,637634957,0,-2,1,4,2,1,3,25791.2,69.9,448.675,-529.5,-136.1,448.675,-529.5,-136.1,448.675,-654.7,69.9,448.675,-654.7
W-2_RB1in_S05_Backward,637567501,0,-2,1,5,1,1,1,24081.4,-328.601,287.953,-412,-150.199,390.953,-412,-150.199,390.953,-528.9,-328.601,287.953,-528.9
W-2_RB1in_S05_Forward,637633037,0,-2,1,5,1,1,3,25791.2,-328.601,287.953,-529.5,-150.199,390.953,-529.5,-150.199,390.953,-654.7,-328.601,287.953,-654.7
W-2_RB1out_S05_Backward,637569549,0,-2,1,5,2,1,1,24081.4,-163.802,423.514,-412,-342.204,320.514,-412,-342.204,320.514,-528.9,-163.802,423.514,-528.9
W-2_RB1out_S05_Forward,637635085,0,-2,1,5,2,1,3,25791.2,-163.802,423.514,-529.5,-342.204,320.514,-529.5,-342.204,320.514,-654.7,-163.802,423.514,-654.7
W-2_RB1in_S06_Backward,637567629,0,-2,1,6,1,1,1,24081.4,-428.553,85.0743,-412,-325.553,263.476,-412,-325.553,263.476,-528.9,-428.553,85.0743,-528.9
