year,run,total,passed,efficiency
2022,355863,1143,1086,95.013123
2022,355870,2395,2271,94.822547
2022,355872,109736,103958,94.734636
2022,355933,1056,987,93.465909
2022,355942,2245,2061,91.804009
2022,355988,4430,4025,90.857788
2022,355989,1959,1731,88.361409
2022,355998,4155,3816,91.841155
2022,355999,1083,1001,92.428440
2022,356004,2117,1977,93.386868
2022,356005,18847,17905,95.001857
2022,356043,8664,7955,91.816713
2022,356075,21937,20642,94.096732
2022,356076,27122,25506,94.041737
2022,356077,78978,74551,94.394642
2022,356135,4086,3765,92.143906
2022,356309,17617,16517,93.756031
2022,356316,14479,13795,95.275917
2022,356322,3298,3071,93.117041
2022,356323,114397,107721,94.164183
2022,356371,2486,2279,91.673371
2022,356378,65267,61417,94.101154
2022,356381,208871,198574,95.070163
2022,356383,4802,4569,95.147855
2022,356385,4008,3799,94.785429
2022,356386,13861,13178,95.072506
2022,356426,4005,3777,94.307116
2022,356428,72658,68354,94.076358
2022,356433,76143,71943,94.484063
2022,356446,148124,139860,94.420891
2022,356523,256951,244884,95.303774
2022,356563,81339,77574,95.371224
2022,356568,5131,4882,95.147145
2022,356569,72041,68614,95.242987
2022,356570,30451,28980,95.169288
2022,356576,41593,39667,95.369413
2022,356578,244696,233116,95.267597
2022,356582,23096,22052,95.479737
2022,356614,12479,11854,94.991586
2022,356615,365612,347967,95.173845
2022,356619,38509,36777,95.502350
2022,356810,40390,38522,95.375093
2022,356811,20173,19130,94.829723
2022,356812,47480,45139,95.069503
2022,356813,23105,21981,95.135252
2022,356814,246745,235253,95.342560
2022,356815,30133,28761,95.446852
2022,356824,15554,14815,95.248811
2022,356919,33072,31406,94.962506
2022,356937,44923,42768,95.202903
2022,356946,53829,50955,94.660871
2022,356947,143466,136654,95.251837
2022,356948,31313,29904,95.500271
2022,356949,33940,32401,95.465527
2022,356951,92161,88081,95.572965
2022,356954,108889,104010,95.519290
2022,356955,101426,96743,95.382841
2022,356956,23532,22438,95.351011
2022,356968,74359,70732,95.122312
2022,356969,100872,96117,95.286105
2022,356970,150029,142937,95.272914
2022,356998,2420,2278,94.132231
2022,356999,24561,23327,94.975775
2022,357000,16836,15999,95.028510
2022,357001,79453,75624,95.180799
2022,357080,300567,285880,95.113569
2022,357081,281030,268218,95.441056
2022,357101,26454,25064,94.745596
2022,357102,54243,51473,94.893350
2022,357106,26838,25425,94.735077
2022,357112,212360,201970,95.107365
2022,357268,33607,31860,94.801678
2022,357271,652608,619794,94.971867
2022,357328,25663,24232,94.423879
2022,357330,65772,62446,94.943137
2022,357331,8466,8006,94.566501
2022,357332,152367,144616,94.912940
2022,357333,66876,63676,95.215025
2022,357401,260917,248256,95.147499
2022,357406,51095,48403,94.731383
2022,357438,95123,90482,95.121054
2022,357440,175671,167060,95.098223
2022,357441,38838,36979,95.213451
2022,357442,480912,458836,95.409555
